Mean is 8.296540
Maximum trip length is 11.383499
Max Order: [6, 3, 2, 7, 12, 4, 10, 0, 11, 5, 8, 13, 9, 1]
Min trip length: 4.381095
Min order: [1, 4, 5, 0, 13, 6, 9, 2, 12, 11, 8, 10, 3, 7]
Bin 0) 2
Bin 1) 0
Bin 2) 3
Bin 3) 3
Bin 4) 6
Bin 5) 12
Bin 6) 13
Bin 7) 26
Bin 8) 20
Bin 9) 33
Bin 10) 65
Bin 11) 87
Bin 12) 104
Bin 13) 139
Bin 14) 230
Bin 15) 285
Bin 16) 360
Bin 17) 495
Bin 18) 632
Bin 19) 855
Bin 20) 1066
Bin 21) 1313
Bin 22) 1642
Bin 23) 2083
Bin 24) 2525
Bin 25) 3166
Bin 26) 3751
Bin 27) 4507
Bin 28) 5509
Bin 29) 6372
Bin 30) 7498
Bin 31) 8635
Bin 32) 10039
Bin 33) 11382
Bin 34) 12989
Bin 35) 14433
Bin 36) 16346
Bin 37) 18157
Bin 38) 20097
Bin 39) 21913
Bin 40) 23676
Bin 41) 26098
Bin 42) 27670
Bin 43) 29335
Bin 44) 31121
Bin 45) 32759
Bin 46) 33443
Bin 47) 34285
Bin 48) 35655
Bin 49) 36033
Bin 50) 36327
Bin 51) 36165
Bin 52) 35714
Bin 53) 35249
Bin 54) 34236
Bin 55) 33446
Bin 56) 32153
Bin 57) 30186
Bin 58) 28461
Bin 59) 26744
Bin 60) 24677
Bin 61) 22646
Bin 62) 20630
Bin 63) 18332
Bin 64) 16269
Bin 65) 14420
Bin 66) 12375
Bin 67) 10701
Bin 68) 9133
Bin 69) 7603
Bin 70) 6318
Bin 71) 5000
Bin 72) 4070
Bin 73) 3160
Bin 74) 2567
Bin 75) 1929
Bin 76) 1439
Bin 77) 1037
Bin 78) 707
Bin 79) 506
Bin 80) 366
Bin 81) 243
Bin 82) 133
Bin 83) 83
Bin 84) 55
Bin 85) 30
Bin 86) 14
Bin 87) 5
Bin 88) 2
Bin 89) 1
Bin 90) 0
Bin 91) 0
Bin 92) 0
Bin 93) 0
Bin 94) 0
Bin 95) 0
Bin 96) 0
Bin 97) 0
Bin 98) 0
Bin 99) 0
